Dataset,Max Depth,Impurity,Train,Test,Time

audiology,3,gini,0.6777777777777778,0.6739130434782609,2.1770660877227783
audiology,3,entropy,0.7055555555555556,0.6304347826086957,0.21082592010498047
audiology,4,gini,0.7722222222222223,0.717391304347826,0.4791221618652344
audiology,4,entropy,0.7888888888888889,0.6956521739130435,0.5597970485687256
audiology,5,gini,0.8666666666666667,0.7391304347826086,1.0774781703948975
audiology,5,entropy,0.8833333333333333,0.7608695652173914,1.538362979888916
audiology,6,gini,0.9277777777777778,0.6956521739130435,3.076367139816284
audiology,6,entropy,0.95,0.7608695652173914,3.641922950744629
audiology,7,gini,0.9611111111111111,0.717391304347826,5.0301501750946045
audiology,7,entropy,0.9777777777777777,0.7608695652173914,5.892997741699219
audiology,8,gini,0.9833333333333333,0.7391304347826086,8.403066158294678
audiology,8,entropy,0.9944444444444445,0.7608695652173914,9.805907249450684

balance-scale,3,gini,0.714,0.616,0.07983613014221191
balance-scale,3,entropy,0.714,0.616,0.06015491485595703
balance-scale,4,gini,0.778,0.656,0.07565522193908691
balance-scale,4,entropy,0.778,0.664,0.08102893829345703
balance-scale,5,gini,0.822,0.664,0.14072608947753906
balance-scale,5,entropy,0.82,0.688,0.19669723510742188
balance-scale,6,gini,0.854,0.712,0.3279149532318115
balance-scale,6,entropy,0.85,0.72,0.5061750411987305
balance-scale,7,gini,0.894,0.688,0.6338980197906494
balance-scale,7,entropy,0.892,0.704,1.024137020111084
balance-scale,8,gini,0.924,0.72,1.0654690265655518
balance-scale,8,entropy,0.92,0.704,1.232100248336792

breast-cancer,3,gini,0.7763157894736842,0.7758620689655172,0.046135902404785156
breast-cancer,3,entropy,0.7719298245614035,0.7241379310344828,0.04909205436706543
breast-cancer,4,gini,0.8114035087719298,0.8103448275862069,0.07428693771362305
breast-cancer,4,entropy,0.8026315789473685,0.7931034482758621,0.08019304275512695
breast-cancer,5,gini,0.8464912280701754,0.7758620689655172,0.1460111141204834
breast-cancer,5,entropy,0.8421052631578947,0.7931034482758621,0.15956377983093262
breast-cancer,6,gini,0.8728070175438597,0.7068965517241379,0.30904603004455566
breast-cancer,6,entropy,0.8596491228070176,0.7241379310344828,0.33808207511901855
breast-cancer,7,gini,0.9078947368421053,0.6379310344827587,0.6111128330230713
breast-cancer,7,entropy,0.8991228070175439,0.6551724137931034,0.5992279052734375
breast-cancer,8,gini,0.9342105263157895,0.7068965517241379,1.2317078113555908
breast-cancer,8,entropy,0.9298245614035088,0.7068965517241379,1.0342040061950684

car,3,gini,0.8133140376266281,0.7745664739884393,0.07992696762084961
car,3,entropy,0.8133140376266281,0.7745664739884393,0.0721290111541748
car,4,gini,0.8552821997105644,0.7947976878612717,0.12033295631408691
car,4,entropy,0.8552821997105644,0.7947976878612717,0.1256546974182129
car,5,gini,0.8936324167872648,0.838150289017341,0.24126291275024414
car,5,entropy,0.8929088277858177,0.8410404624277457,0.22884392738342285
car,6,gini,0.9138929088277858,0.8872832369942196,0.42156219482421875
car,6,entropy,0.9182344428364689,0.8815028901734104,0.4639558792114258
car,7,gini,0.9573082489146165,0.9219653179190751,0.8816890716552734
car,7,entropy,0.9565846599131693,0.930635838150289,0.9665131568908691
car,8,gini,0.9732272069464544,0.9248554913294798,1.7861580848693848
car,8,entropy,0.9717800289435601,0.930635838150289,2.5133957862854004

hayes-roth,3,gini,0.6875,0.5625,0.028467893600463867
hayes-roth,3,entropy,0.671875,0.65625,0.02502894401550293
hayes-roth,4,gini,0.7265625,0.65625,0.026623249053955078
hayes-roth,4,entropy,0.734375,0.625,0.027392864227294922
hayes-roth,5,gini,0.8515625,0.875,0.041046142578125
hayes-roth,5,entropy,0.8515625,0.84375,0.04861092567443848
hayes-roth,6,gini,0.875,0.9375,0.07165098190307617
hayes-roth,6,entropy,0.875,0.9375,0.08331680297851562
hayes-roth,7,gini,0.90625,0.9375,0.1151432991027832
hayes-roth,7,entropy,0.90625,0.8125,0.14051413536071777
hayes-roth,8,gini,0.9140625,0.875,0.19142770767211914
hayes-roth,8,entropy,0.9140625,0.875,0.23346376419067383

hiv-1-protease,3,gini,0.8537556904400607,0.8330804248861912,2.5260260105133057
hiv-1-protease,3,entropy,0.8537556904400607,0.8330804248861912,3.021021842956543
hiv-1-protease,4,gini,0.8791729893778453,0.8573596358118362,7.749016046524048
hiv-1-protease,4,entropy,0.8789833080424886,0.8558421851289834,5.205703020095825
hiv-1-protease,5,gini,0.8913125948406677,0.8657056145675266,8.758304834365845
hiv-1-protease,5,entropy,0.8896054628224582,0.8641881638846738,8.885175228118896
hiv-1-protease,6,gini,0.9000379362670713,0.8725341426403642,15.350190877914429
hiv-1-protease,6,entropy,0.8992792109256449,0.8619119878603946,15.928850889205933
hiv-1-protease,7,gini,0.912556904400607,0.8823975720789075,25.292378187179565
hiv-1-protease,7,entropy,0.9106600910470409,0.8770864946889226,30.272050857543945
hiv-1-protease,8,gini,0.9256449165402124,0.8884673748103187,45.2650260925293
hiv-1-protease,8,entropy,0.9235584218512898,0.8786039453717754,51.18529415130615

kr-vs-kp,3,gini,0.906885758998435,0.89375,0.46351194381713867
kr-vs-kp,3,entropy,0.906885758998435,0.89375,0.43305397033691406
kr-vs-kp,4,gini,0.9428794992175273,0.9328125,0.9428462982177734
kr-vs-kp,4,entropy,0.9428794992175273,0.9328125,0.7335989475250244
kr-vs-kp,5,gini,0.9428794992175273,0.9328125,1.4901847839355469
kr-vs-kp,5,entropy,0.9428794992175273,0.9328125,1.4040610790252686
kr-vs-kp,6,gini,0.9428794992175273,0.9328125,2.5047531127929688
kr-vs-kp,6,entropy,0.9436619718309859,0.934375,2.285903215408325
kr-vs-kp,7,gini,0.9690923317683882,0.9546875,5.174592971801758
kr-vs-kp,7,entropy,0.9683098591549296,0.9609375,4.068440675735474
kr-vs-kp,8,gini,0.9859154929577465,0.9859375,10.412801027297974
kr-vs-kp,8,entropy,0.986697965571205,0.9890625,8.238171815872192

led-display,3,gini,0.5725,0.56,0.042289018630981445
led-display,3,entropy,0.5725,0.56,0.062375783920288086
led-display,4,gini,0.7325,0.71,0.08858776092529297
led-display,4,entropy,0.7325,0.71,0.0811300277709961
led-display,5,gini,0.77,0.67,0.18822669982910156
led-display,5,entropy,0.77,0.67,0.2020101547241211
led-display,6,gini,0.7875,0.67,0.5219316482543945
led-display,6,entropy,0.7875,0.67,0.6061818599700928
led-display,7,gini,0.8,0.69,1.1605730056762695
led-display,7,entropy,0.8,0.69,1.3773200511932373
led-display,8,gini,0.8,0.69,2.6508209705352783
led-display,8,entropy,0.8,0.69,2.922335147857666

lymph,3,gini,0.8898305084745762,0.8,0.05802512168884277
lymph,3,entropy,0.8728813559322034,0.6,0.05347704887390137
lymph,4,gini,0.9661016949152542,0.8333333333333334,0.09645509719848633
