Dataset,Max Depth,Impurity,Train,Test,Time

audiology,3,gini,0.6777777777777778,0.6739130434782609,3.425915241241455
audiology,3,entropy,0.7111111111111111,0.6956521739130435,0.5100791454315186
audiology,4,gini,0.7777777777777778,0.6739130434782609,1.4322261810302734
audiology,4,entropy,0.7944444444444444,0.6956521739130435,1.81298828125
audiology,5,gini,0.8888888888888888,0.717391304347826,4.984549283981323
audiology,5,entropy,0.9055555555555556,0.7391304347826086,6.336458921432495
audiology,6,gini,0.95,0.7391304347826086,15.92629885673523
audiology,6,entropy,0.95,0.782608695652174,19.686469793319702
audiology,7,gini,0.9722222222222222,0.782608695652174,41.75470590591431
audiology,7,entropy,0.9833333333333333,0.7391304347826086,51.03151726722717
audiology,8,gini,0.9944444444444445,0.782608695652174,104.54112100601196
audiology,8,entropy,0.9944444444444445,0.7391304347826086,106.62315106391907

balance-scale,3,gini,0.742,0.64,0.17338180541992188
balance-scale,3,entropy,0.742,0.64,0.12013792991638184
balance-scale,4,gini,0.78,0.664,0.22954106330871582
balance-scale,4,entropy,0.78,0.656,0.2307901382446289
balance-scale,5,gini,0.83,0.68,0.6515181064605713
balance-scale,5,entropy,0.828,0.704,0.6914727687835693
balance-scale,6,gini,0.864,0.744,1.8787779808044434
balance-scale,6,entropy,0.862,0.744,2.011197328567505
balance-scale,7,gini,0.906,0.736,4.98721718788147
balance-scale,7,entropy,0.904,0.72,5.20622992515564
balance-scale,8,gini,0.936,0.688,11.750486850738525
balance-scale,8,entropy,0.934,0.736,13.263602018356323

breast-cancer,3,gini,0.7807017543859649,0.7586206896551724,0.1292421817779541
breast-cancer,3,entropy,0.7807017543859649,0.7586206896551724,0.1110069751739502
breast-cancer,4,gini,0.8289473684210527,0.7586206896551724,0.2527778148651123
breast-cancer,4,entropy,0.8289473684210527,0.7586206896551724,0.31696486473083496
breast-cancer,5,gini,0.8596491228070176,0.6206896551724138,0.7730278968811035
breast-cancer,5,entropy,0.8596491228070176,0.6379310344827587,0.7959911823272705
breast-cancer,6,gini,0.8991228070175439,0.6896551724137931,2.2490410804748535
breast-cancer,6,entropy,0.8947368421052632,0.7068965517241379,2.281491756439209
breast-cancer,7,gini,0.9429824561403509,0.6206896551724138,5.988485813140869
breast-cancer,7,entropy,0.9298245614035088,0.6724137931034483,5.731701135635376
breast-cancer,8,gini,0.9605263157894737,0.7068965517241379,16.514850854873657
breast-cancer,8,entropy,0.956140350877193,0.6724137931034483,14.039489984512329

car,3,gini,0.8162083936324168,0.7630057803468208,0.14277291297912598
